# Which Pascal routine implements each game-layer function.
#
# THE ADDRESS AUTHORITY is notes/game_functions.txt; this file adds the third
# column - the routine in src/ that carries the behaviour. tools/implemented.py
# reads it and checks each target really has a body, so a function written up
# but never coded still fails the gate.
#
# WHY IT IS A FILE AND NOT A COMMENT
#
# This mapping used to live in src/, as an address inside the comment block
# immediately above each declaration. Two things were wrong with that. It put
# decompilation bookkeeping in source comments, which are for explaining how
# the game works; and the convention was invisible to the compiler, so a
# reformatting pass silently took the count from 149 to 14 while everything
# still built and every self-test still passed.
#
# Columns, tab-separated:
#   address     VA in akuji.exe, as it appears in notes/game_functions.txt
#   name        the Ghidra name at that address
#   target      unit path under src/, then the routine, qualified for a method
#
# One address may name a routine another address also names when the original
# is an X/Y pair or two entry points into one body; that is expected. Adding a
# row means the address is claimed as implemented, so add one only when the
# behaviour is actually there.
0x00454790	Events_SpawnNearCamera	events/EventRunner.pas:TEventRunner.SpawnNearCamera
0x00454EF4	Event_Begin	events/EventRunner.pas:TEventRunner.StartEvent
0x0045509C	EventScript_AdvanceStep	events/EventRunner.pas:TEventRunner.AdvanceStep
0x00455210	EventScript_Execute	events/EventRunner.pas:TEventRunner.Execute
0x00456038	MessageBox_Update	screens/Dialogue.pas:TDialogueBox.Update
0x00456698	PowerUp_Show	gameplay/PlayerState.pas:PowerUpGrant
0x004568D0	Overlay_Update	screens/Dialogue.pas:TDialogueBox.Update
0x00456B14	UnitInit_00484FA0	UnitInit.pas:UnitInitialize
0x00456B4C	Entity_SolidCollideX	gameplay/Entities.pas:TEntityWorld.SolidCollideX
0x00456E0C	Entity_SolidCollideY	gameplay/Entities.pas:TEntityWorld.SolidCollideY
0x00457150	Entity_TileEdgeDistX	gameplay/Entities.pas:TileEdgeDistX
0x00457228	Entity_TileEdgeDistY	gameplay/Entities.pas:TileEdgeDistY
0x00457300	Entity_TileCollideX	gameplay/Entities.pas:EntityTileCollideX
0x004574DC	Entity_TileCollideY	gameplay/Entities.pas:EntityTileCollideY
0x004576B4	Entity_CheckKillTiles	gameplay/Entities.pas:EntityCheckKillTiles
0x00457880	Entity_PlayerTouch	gameplay/EntityHandlers.pas:PlayerTouch
0x00457AB4	Entity_TakeProjectileHits	gameplay/EntityHandlers.pas:TakeProjectileHits
0x00457F98	Entity_BoxesOverlap	gameplay/Entities.pas:EntitiesOverlap
0x004580BC	Entity_IsOffScreen	gameplay/Entities.pas:IsOffScreen
0x00458138	FUN_00458138	gameplay/EntityHandlers.pas:PlayerTakeDamage
0x00458274	Entity_TouchPickup	gameplay/EntityHandlers.pas:EntityTouchPickup
0x00458404	FUN_00458404	gameplay/EntityHandlers.pas:EntityTouchLife
0x00458490	Entity_TouchHeal	gameplay/EntityHandlers.pas:EntityTouchHeal
0x004585A8	Player_Update	gameplay/Player.pas:PlayerUpdate
0x004593B0	Player_UpdateGlide	gameplay/Player.pas:UpdateGlide
0x00459624	Player_UpdateAirDash	gameplay/Player.pas:UpdateAirDash
